geneID	gff_annotation	gff_annotation2
113012077	LOC113012077	very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase-like%2C transcript variant X1
113012185	LOC113012185	sodium/potassium/calcium exchanger 1-like%2C transcript variant X1
113012359	LOC113012359	C-myc promoter-binding protein-like%2C transcript variant X12
113013388	LOC113013388	suppressor of cytokine signaling 4-like
113012954	wdhd1	WD repeat and HMG-box DNA binding protein 1%2C transcript variant X2
113013054	gch1	GTP cyclohydrolase 1
113013123	samd4a	sterile alpha motif domain containing 4A%2C transcript variant X1
113013236	ero1a	endoplasmic reticulum oxidoreductase 1 alpha
113013302	pacsin3	protein kinase C and casein kinase substrate in neurons 3%2C transcript variant X1
113013457	LOC113013457	Golgi apparatus protein 1-like
113013513	aph1a	aph-1 homolog A%2C gamma-secretase subunit
113013592	otog	otogelin%2C transcript variant X1
113014000	LOC113014000	myoblast determination protein 1 homolog
113013743	LOC113013743	troponin T%2C fast skeletal muscle isoforms-like%2C transcript variant X2
113014084	LOC113014084	uncharacterized LOC113014084%2C transcript variant X1
113014197	LOC113014197	lymphocyte-specific protein 1-like%2C transcript variant X2
113014317	LOC113014317	uncharacterized LOC113014317
113014083	LOC113014083	uncharacterized LOC113014083
113028028	LOC113028028	uncharacterized LOC113028028
113014445	celf1	CUGBP Elav-like family member 1%2C transcript variant X10
113015132	mtfmt	mitochondrial methionyl-tRNA formyltransferase%2C transcript variant X1
113015268	LOC113015268	cytochrome b-c1 complex subunit Rieske%2C mitochondrial-like
113015334	LOC113015334	uncharacterized LOC113015334
113015413	LOC113015413	putative uncharacterized protein DDB_G0285495%2C transcript variant X2
113028090	rasl12	RAS like family 12
113015758	kbtbd13	kelch repeat and BTB domain containing 13
113015874	ubap1l	ubiquitin associated protein 1 like
113015804	pdcd7	programmed cell death 7
113015950	spg21	SPG21%2C maspardin%2C transcript variant X1
113015707	shcbp1	SHC binding and spindle associated 1
113016057	tssc4	tumor suppressing subtransferable candidate 4%2C transcript variant X1
113016203	ano9	anoctamin 9
113016420	c1h16orf87	chromosome 1 C16orf87 homolog
113016266	vps35	VPS35%2C retromer complex component%2C transcript variant X3
113016491	vstm2b	V-set and transmembrane domain containing 2B
113014540	LOC113014540	uncharacterized LOC113014540
113016559	LOC113016559	uncharacterized LOC113016559
113016603	LOC113016603	N-acetyllactosaminide alpha-1%2C3-galactosyltransferase-like
113016725	mapk8ip1	mitogen-activated protein kinase 8 interacting protein 1%2C transcript variant X2
113016882	guca1b	guanylate cyclase activator 1B
113016947	chst1	carbohydrate sulfotransferase 1
113017255	LOC113017255	uncharacterized LOC113017255
113017157	LOC113017157	uncharacterized LOC113017157
113017019	LOC113017019	probable serine/threonine-protein kinase MARK-A
113028356	LOC113028356	immune-associated nucleotide-binding protein 7-like
113017308	slc35c1	solute carrier family 35 member C1
113028422	LOC113028422	limulus clotting factor C-like
113017402	LOC113017402	excitatory amino acid transporter 2-like%2C transcript variant X1
113017550	LOC113017550	mucin-5AC-like
113017633	apip	APAF1 interacting protein
113017726	LOC113017726	leucine-rich repeat-containing protein 4C-like%2C transcript variant X1
113017928	LOC113017928	very-long-chain 3-oxoacyl-CoA reductase-B-like
113018024	LOC113018024	uncharacterized LOC113018024
113018169	ttc17	tetratricopeptide repeat domain 17
113018249	traf6	TNF receptor associated factor 6%2C transcript variant X2
113018082	trpm5	transient receptor potential cation channel subfamily M member 5
113015757	LOC113015757	cyclin-dependent kinase inhibitor 1-like
113018392	kcnq1	potassium voltage-gated channel subfamily Q member 1
113018480	LOC113018480	leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 1-B
113018528	luzp2	leucine zipper protein 2%2C transcript variant X2
113018543	muc15	mucin 15%2C cell surface associated
113018550	LOC113018550	fin bud initiation factor-like
113018556	bbox1	gamma-butyrobetaine hydroxylase 1%2C transcript variant X1
113018566	madd	MAP kinase activating death domain%2C transcript variant X2
113018656	nr1h3	nuclear receptor subfamily 1 group H member 3%2C transcript variant X6
113018692	arl14ep	ADP ribosylation factor like GTPase 14 effector protein
113018740	LOC113018740	gonadotropin subunit beta-1-like%2C transcript variant X3
113018717	kcna4	potassium voltage-gated channel subfamily A member 4
113018724	LOC113018724	CD151 antigen-like%2C transcript variant X2
113028488	LOC113028488	transmembrane protein 138-like
113018703	cfap70	cilia and flagella associated protein 70%2C transcript variant X3
113018696	ddb1	damage specific DNA binding protein 1
113018758	tspan4	tetraspanin 4%2C transcript variant X3
113018808	taldo1	transaldolase 1%2C transcript variant X2
113018786	LOC113018786	uncharacterized LOC113018786%2C transcript variant X4
113018770	LOC113018770	paired amphipathic helix protein Sin3a-like%2C transcript variant X1
113018820	LOC113018820	cellular retinoic acid-binding protein 1
113018829	LOC113018829	solute carrier family 25 member 44-like
113018836	psma4	proteasome subunit alpha 4%2C transcript variant X2
113018847	rbpms2	RNA binding protein%2C mRNA processing factor 2%2C transcript variant X4
113018876	cpeb1	cytoplasmic polyadenylation element binding protein 1
113018885	LOC113018885	40S ribosomal protein S17-like%2C transcript variant X2
113018897	csnk1g1	casein kinase 1 gamma 1%2C transcript variant X4
113018939	snx1	sorting nexin 1
113018944	neo1	neogenin 1%2C transcript variant X4
113018996	bbs4	Bardet-Biedl syndrome 4%2C transcript variant X1
113019047	LOC113019047	secretory carrier-associated membrane protein 2-like
113019008	LOC113019008	unconventional myosin-IXa-like%2C transcript variant X4
113019055	senp8	SUMO peptidase family member%2C NEDD8 specific%2C transcript variant X1
113019066	LOC113019066	GRAM domain-containing protein 2A-like%2C transcript variant X1
113019086	LOC113019086	zinc finger protein 609-like%2C transcript variant X4
113019133	LOC113019133	uncharacterized LOC113019133
113019107	trip4	thyroid hormone receptor interactor 4%2C transcript variant X4
113016391	LOC113016391	uncharacterized LOC113016391
113019138	LOC113019138	neuronal acetylcholine receptor subunit alpha-7-like%2C transcript variant X2
113019158	LOC113019158	ceroid-lipofuscinosis neuronal protein 6 homolog
113019166	calml4	calmodulin like 4
113019177	LOC113019177	A disintegrin and metalloproteinase with thrombospondin motifs 7-like
113017116	LOC113017116	relaxin-3 receptor 1-like
113019186	itga11	integrin subunit alpha 11%2C transcript variant X2
113019215	coro2b	coronin 2B%2C transcript variant X2
113019237	LOC113019237	acidic leucine-rich nuclear phosphoprotein 32 family member A%2C transcript variant X2
113028132	trnag-ccc	tRNA-Gly
113019265	glce	glucuronic acid epimerase
113019251	LOC113019251	uncharacterized LOC113019251%2C transcript variant X2
113019299	paqr5	progestin and adipoQ receptor family member 5
113019271	kif23	kinesin family member 23%2C transcript variant X6
113019312	LOC113019312	serine/threonine-protein kinase pim-2-like%2C transcript variant X2
113019333	LOC113019333	uncharacterized LOC113019333
113019323	LOC113019323	serine/threonine-protein kinase pim-1-like%2C transcript variant X2
113019343	LOC113019343	transducin-like enhancer protein 3-B%2C transcript variant X2
113019338	LOC113019338	uncharacterized LOC113019338
113019395	uaca	uveal autoantigen with coiled-coil domains and ankyrin repeats%2C transcript variant X1
113019408	LOC113019408	mortality factor 4-like protein 1%2C transcript variant X1
113019421	LOC113019421	uncharacterized LOC113019421
113018023	LOC113018023	relaxin-3 receptor 1-like
113019428	LOC113019428	E3 SUMO-protein ligase PIAS1-like%2C transcript variant X1
113019447	LOC113019447	SKI family transcriptional corepressor 1 homolog-B-like%2C transcript variant X6
113019478	map2k5	mitogen-activated protein kinase kinase 5%2C transcript variant X5
113019507	LOC113019507	uncharacterized LOC113019507
113019512	LOC113019512	mothers against decapentaplegic homolog 3
113018553	LOC113018553	SUN domain-containing protein 2-like%2C transcript variant X2
113018661	LOC113018661	uncharacterized LOC113018661
113019522	LOC113019522	mothers against decapentaplegic homolog 6-like
113019540	tmem208	transmembrane protein 208
113019532	LOC113019532	erythrocyte band 7 integral membrane protein-like
113019556	LOC113019556	zinc transporter ZIP1-like
113019563	LOC113019563	retinaldehyde-binding protein 1-like
113019569	LOC113019569	monoacylglycerol lipase ABHD2-A
113019574	LOC113019574	EGF-like repeat and discoidin I-like domain-containing protein 3%2C transcript variant X2
113019587	LOC113019587	hyaluronan and proteoglycan link protein 3-like%2C transcript variant X1
113019610	LOC113019610	uncharacterized LOC113019610
113018711	LOC113018711	uncharacterized LOC113018711
113019619	LOC113019619	nicotinamide riboside kinase 2-like%2C transcript variant X1
113018776	LOC113018776	uncharacterized LOC113018776
113019655	bloc1s6	biogenesis of lysosomal organelles complex 1 subunit 6
113019636	slc30a4	solute carrier family 30 member 4%2C transcript variant X2
113019696	c1h15orf48	chromosome 1 C15orf48 homolog
113019672	spata5l1	spermatogenesis associated 5 like 1%2C transcript variant X1
113019661	LOC113019661	NAD(P) transhydrogenase%2C mitochondrial-like%2C transcript variant X2
113019686	dtwd1	DTW domain containing 1%2C transcript variant X1
113019704	fgf7	fibroblast growth factor 7
113019728	cops2	COP9 signalosome subunit 2
113019713	secisbp2l	SECIS binding protein 2 like%2C transcript variant X1
113019738	shc4	SHC adaptor protein 4%2C transcript variant X1
113019778	fbn1	fibrillin 1%2C transcript variant X1
113019801	dut	deoxyuridine triphosphatase%2C transcript variant X1
113019827	slc12a1	solute carrier family 12 member 1
113018825	ctxn2	cortexin 2%2C transcript variant X1
113019843	myef2	myelin expression factor 2
113019926	slc24a5	solute carrier family 24 member 5%2C transcript variant X2
113019942	LOC113019942	E3 ubiquitin-protein ligase RNF128-like
113019860	sema6d	semaphorin 6D%2C transcript variant X3
113018952	LOC113018952	uncharacterized LOC113018952
113019950	LOC113019950	uncharacterized LOC113019950
113019960	dmxl2	Dmx like 2%2C transcript variant X5
113020003	LOC113020003	uncharacterized LOC113020003
113019994	gldn	gliomedin
113020014	LOC113020014	aromatase
113020023	tnfaip8l3	TNF alpha induced protein 8 like 3
113020042	scg3	secretogranin III%2C transcript variant X1
113020056	lysmd2	LysM domain containing 2
113020032	LOC113020032	uncharacterized LOC113020032
113020065	LOC113020065	tropomodulin-3-like
113020080	leo1	LEO1 homolog%2C Paf1/RNA polymerase II complex component
113020107	mapk6	mitogen-activated protein kinase 6%2C transcript variant X3
113020121	LOC113020121	uncharacterized LOC113020121%2C transcript variant X3
113020097	usp50	ubiquitin specific peptidase 50%2C transcript variant X1
113020088	usp8	ubiquitin specific peptidase 8%2C transcript variant X2
113020131	hdc	histidine decarboxylase%2C transcript variant X1
113020143	LOC113020143	very long-chain acyl-CoA synthetase-like%2C transcript variant X1
113020161	LOC113020161	very long-chain acyl-CoA synthetase-like%2C transcript variant X3
113020177	LOC113020177	very long-chain acyl-CoA synthetase-like
113020184	gatm	glycine amidinotransferase
113020198	pde8a	phosphodiesterase 8A
113020227	LOC113020227	KH homology domain-containing protein 4-like
113020219	fsd2	fibronectin type III and SPRY domain containing 2
113020207	whamm	WAS protein homolog associated with actin%2C golgi membranes and microtubules%2C transcript variant X1
113020234	homer2	homer scaffold protein 2%2C transcript variant X3
113020251	ramac	RNA guanine-7 methyltransferase activating subunit%2C transcript variant X2
113020260	btbd1	BTB domain containing 1%2C transcript variant X2
113020273	tm6sf1	transmembrane 6 superfamily member 1
113020282	zrsr2	zinc finger CCCH-type%2C RNA binding motif and serine/arginine rich 2
113020288	LOC113020288	AP-1 complex subunit sigma-2-like
113020294	phka2	phosphorylase kinase regulatory subunit alpha 2%2C transcript variant X4
113020348	ppef1	protein phosphatase with EF-hand domain 1%2C transcript variant X1
113020368	LOC113020368	uncharacterized LOC113020368
113020365	LOC113020365	retinoschisin-like
113020320	LOC113020320	cyclin-dependent kinase-like 5%2C transcript variant X4
113020374	LOC113020374	polycomb protein SCMH1-like%2C transcript variant X2
113020385	LOC113020385	uncharacterized LOC113020385
113020389	LOC113020389	Nance-Horan syndrome protein-like%2C transcript variant X3
113020418	LOC113020418	uncharacterized LOC113020418%2C transcript variant X2
113020413	ace2	angiotensin I converting enzyme 2
113019000	LOC113019000	uncharacterized LOC113019000
113019080	LOC113019080	uncharacterized LOC113019080
113020427	pir	pirin%2C transcript variant X1
113020444	vegfd	vascular endothelial growth factor D
113019151	LOC113019151	gastrin-releasing peptide receptor-like
113020450	LOC113020450	cell surface A33 antigen-like
113019236	LOC113019236	cell surface A33 antigen-like
113020458	LOC113020458	immunoglobulin-like domain-containing receptor 2%2C transcript variant X1
113020481	LOC113020481	coiled-coil domain-containing protein 42 homolog
113020471	LOC113020471	immunoglobulin-like domain-containing receptor 1%2C transcript variant X1
113020488	tmem39a	transmembrane protein 39A
113020497	prss23	serine protease 23
113020504	ccdc81	coiled-coil domain containing 81
113020515	LOC113020515	interleukin-1 receptor accessory protein-like%2C transcript variant X2
113028555	LOC113028555	uncharacterized LOC113028555
113020531	LOC113020531	interleukin-18 receptor accessory protein-like%2C transcript variant X1
113020544	pcnp	PEST proteolytic signal containing nuclear protein%2C transcript variant X2
113020536	stk16	serine/threonine kinase 16
113019371	LOC113019371	motor neuron and pancreas homeobox protein 1-like
113020557	atic	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase
113020564	LOC113020564	fibronectin-like%2C transcript variant X2
113020581	psmd14	proteasome 26S subunit%2C non-ATPase 14
113020588	LOC113020588	RNA-binding motif%2C single-stranded-interacting protein 1-like
113020612	itgb6	integrin subunit beta 6%2C transcript variant X2
113020597	pla2r1	phospholipase A2 receptor 1%2C transcript variant X3
113020627	LOC113020627	lymphocyte antigen 75-like
113020645	LOC113020645	uncharacterized LOC113020645
113020634	march7	membrane associated ring-CH-type finger 7%2C transcript variant X2
113020651	LOC113020651	bromodomain adjacent to zinc finger domain protein 2B-like%2C transcript variant X1
113020741	LOC113020741	WD repeat%2C SAM and U-box domain-containing protein 1-like
113020750	LOC113020750	protein TANC1-like
113020771	LOC113020771	uncharacterized LOC113020771%2C transcript variant X1
113028118	LOC113028118	small nucleolar RNA SNORA31
113020758	LOC113020758	general transcription factor IIF subunit 2-like%2C transcript variant X2
113020798	gpalpp1	GPALPP motifs containing 1%2C transcript variant X1
113020783	ercc3	ERCC excision repair 3%2C TFIIH core complex helicase subunit%2C transcript variant X2
113020812	LOC113020812	cytochrome P450 27C1
113020819	rbm26	RNA binding motif protein 26%2C transcript variant X1
113020848	LOC113020848	uncharacterized LOC113020848
113020833	rnf219	ring finger protein 219
113020839	pou4f1	POU class 4 homeobox 1
113020855	pcdh9	protocadherin 9%2C transcript variant X3
113028619	LOC113028619	uncharacterized LOC113028619
113028723	LOC113028723	uncharacterized LOC113028723
113020873	pcdh20	protocadherin 20
113020880	tdrd3	tudor domain containing 3
113020887	diaph3	diaphanous related formin 3%2C transcript variant X1
113020929	pcdh17	protocadherin 17%2C transcript variant X2
113019439	LOC113019439	uncharacterized LOC113019439
113019568	LOC113019568	uncharacterized LOC113019568
113019630	LOC113019630	uncharacterized LOC113019630
113019676	LOC113019676	uncharacterized LOC113019676
113019757	LOC113019757	uncharacterized LOC113019757
113020936	LOC113020936	uncharacterized LOC113020936
113019854	nkpd1	NTPase KAP family P-loop domain containing 1
113020943	LOC113020943	LIM and senescent cell antigen-like-containing domain protein 1%2C transcript variant X3
113020962	LOC113020962	F-box/LRR-repeat protein 3-like%2C transcript variant X1
113020982	tgfbrap1	transforming growth factor beta receptor associated protein 1%2C transcript variant X2
113020996	LOC113020996	cullin-4B-like%2C transcript variant X2
113020999	lamp1	lysosomal associated membrane protein 1
113021017	grtp1	growth hormone regulated TBC protein 1%2C transcript variant X3
113021004	adprhl1	ADP-ribosylhydrolase like 1%2C transcript variant X1
113021054	LOC113021054	DCN1-like protein 2%2C transcript variant X2
113021035	tmco3	transmembrane and coiled-coil domains 3%2C transcript variant X4
113019976	atp4b	ATPase H+/K+ transporting subunit beta
113021068	grk1	G protein-coupled receptor kinase 1
113021076	LOC113021076	transmembrane protein 255B-like%2C transcript variant X1
113021087	gas6	growth arrest specific 6
113021095	pros1	protein S
113021104	rasa3	RAS p21 protein activator 3%2C transcript variant X1
113021125	tpp2	tripeptidyl peptidase 2%2C transcript variant X1
113021136	LOC113021136	protein-lysine methyltransferase METTL21C-like
113021172	LOC113021172	protein-lysine methyltransferase METTL21E-like
113021143	ercc5	ERCC excision repair 5%2C endonuclease
113021162	blzf1	basic leucine zipper nuclear factor 1
113021151	trmt10c	tRNA methyltransferase 10C%2C mitochondrial RNase P subunit
113021178	txnl4b	thioredoxin like 4B
113021187	mrpl16	mitochondrial ribosomal protein L16
113021205	LOC113021205	centromere protein Q-like
113021195	LOC113021195	C5a anaphylatoxin chemotactic receptor 1-like
113021212	LOC113021212	ephrin-B2a-like
113021217	LOC113021217	glypican-5-like
113021224	LOC113021224	glypican-6-like%2C transcript variant X2
113021232	LOC113021232	LIM domain only protein 7-like%2C transcript variant X1
113021290	LOC113021290	uncharacterized LOC113021290%2C transcript variant X2
113021282	LOC113021282	BTB/POZ domain-containing protein KCTD12-like
113028878	LOC113028878	uncharacterized LOC113028878
113021300	LOC113021300	high-affinity choline transporter 1-like
113021307	LOC113021307	ADP-ribosylation factor-like protein 6%2C transcript variant X1
113021322	LOC113021322	ephrin type-A receptor 6-like%2C transcript variant X2
113021336	nsun3	NOP2/Sun RNA methyltransferase family member 3
113021345	LOC113021345	ATP synthase F(0) complex subunit C3%2C mitochondrial-like%2C transcript variant X1
113020201	rrad	RRAD%2C Ras related glycolysis inhibitor and calcium channel regulator
113021357	LOC113021357	cadherin-17-like
113021382	ca7	carbonic anhydrase 7
113021374	nae1	NEDD8 activating enzyme E1 subunit 1
113021391	LOC113021391	retinitis pigmentosa 1-like 1 protein
113021393	dync1li2	dynein cytoplasmic 1 light intermediate chain 2%2C transcript variant X2
113021408	cmtm4	CKLF like MARVEL transmembrane domain containing 4
113021417	cmtm3	CKLF like MARVEL transmembrane domain containing 3
113021422	LOC113021422	chemokine-like factor%2C transcript variant X3
113021437	galns	galactosamine (N-acetyl)-6-sulfatase
113021445	trappc2l	trafficking protein particle complex 2 like%2C transcript variant X1
113021439	pabpn1l	poly(A) binding protein nuclear 1 like%2C cytoplasmic
113021452	cbfa2t3	CBFA2/RUNX1 translocation partner 3%2C transcript variant X3
113020272	LOC113020272	uncharacterized LOC113020272
113020317	LOC113020317	uncharacterized LOC113020317%2C transcript variant X2
113021486	acsf3	acyl-CoA synthetase family member 3%2C transcript variant X3
113021513	cdh15	cadherin 15
113021504	spg7	SPG7%2C paraplegin matrix AAA peptidase subunit
113021523	ankrd11	ankyrin repeat domain 11%2C transcript variant X1
113021546	slc22a31	solute carrier family 22 member 31
113021557	dpep1	dipeptidase 1
113020379	LOC113020379	uncharacterized LOC113020379
113020423	LOC113020423	sulfotransferase family cytosolic 2B member 1-like%2C transcript variant X5
113021565	LOC113021565	haptoglobin-like
113020718	LOC113020718	trace amine-associated receptor 13c-like
113021576	dhodh	dihydroorotate dehydrogenase (quinone)
113020800	LOC113020800	uncharacterized LOC113020800
113020847	LOC113020847	polycystic kidney disease protein 1-like 2
113021590	ist1	IST1%2C ESCRT-III associated factor%2C transcript variant X2
113021615	mphosph10	M-phase phosphoprotein 10
113021626	mcee	methylmalonyl-CoA epimerase
113021636	LOC113021636	ferritin%2C heavy subunit
113021645	LOC113021645	60S acidic ribosomal protein P2-like
113021654	lin7c	lin-7 homolog C%2C crumbs cell polarity complex component
113021665	bdnf	brain derived neurotrophic factor%2C transcript variant X8
113021720	kif18a	kinesin family member 18A%2C transcript variant X2
113021739	mettl15	methyltransferase like 15%2C transcript variant X2
113020919	LOC113020919	uncharacterized LOC113020919
113021766	lgr4	leucine rich repeat containing G protein-coupled receptor 4
113021775	mybpc3	myosin binding protein C%2C cardiac%2C transcript variant X1
113021791	spi1	Spi-1 proto-oncogene%2C transcript variant X2
113021806	slc39a13	solute carrier family 39 member 13%2C transcript variant X1
113021815	LOC113021815	transmembrane protein 178B-like
113021821	LOC113021821	growth arrest-specific protein 2-like
113021829	LOC113021829	vesicular glutamate transporter 2.1
113021835	LOC113021835	anoctamin-5-like%2C transcript variant X2
113021847	LOC113021847	immunoglobulin superfamily DCC subclass member 3-like%2C transcript variant X1
113020961	LOC113020961	uncharacterized LOC113020961
113021856	cilp	cartilage intermediate layer protein%2C transcript variant X1
113021864	eif3j	eukaryotic translation initiation factor 3 subunit J
113021871	LOC113021871	stereocilin-like
113021878	LOC113021878	uncharacterized LOC113021878%2C transcript variant X2
113028942	LOC113028942	uncharacterized LOC113028942
